COU,Country,IND,Indicator,SEX,Sex,AGE,Age Group,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,16,,
NZL,New Zealand,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,14,,
FIN,Finland,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,17.5,,
GBR,United Kingdom,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,52,,
TUR,Turkey,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,16,,
POL,Poland,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,26,,
PRT,Portugal,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,6.4,,
CZE,Czech Republic,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,28,,
DNK,Denmark,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,18,,
NOR,Norway,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,17,,
SVN,Slovenia,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,15,,
IRL,Ireland,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,42,,
GRC,Greece,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,43,,
BEL,Belgium,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,15,,
KOR,Korea,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,12.9,,
SWE,Sweden,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,15.6,,
FRA,France,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,16,,
AUS,Australia,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,6,,
SVK,Slovak Republic,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,34,,
MEX,Mexico,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,12,,
ISR,Israel,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,26,,
AUT,Austria,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,16,,
HUN,Hungary,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,24,,
CHE,Switzerland,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,16,,
DEU,Germany,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,14,,
JPN,Japan,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,14,,
CHL,Chile,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,18,,
ESP,Spain,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,16,,
ISL,Iceland,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,13,,
ITA,Italy,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,21.7,,
USA,United States,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,0,,
LUX,Luxembourg,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,16,,
EST,Estonia,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,20,,
CAN,Canada,EMP18_MAT,Length of maternity leave,WOMEN,Women,TOTAL,Total,2014,2014,WEEK,Weeks,0,Units,,,17,,
AUT,Austria,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,17.1,,
BEL,Belgium,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,22.4,,
CZE,Czech Republic,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,3.5,,
DNK,Denmark,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,24,,
FIN,Finland,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,29.2,,
FRA,France,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,32.4,,
DEU,Germany,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,24.4,,
GRC,Greece,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,8.9,,
HUN,Hungary,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,11.8,,
ISL,Iceland,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,44.8,,
IRL,Ireland,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,10.9,,
ITA,Italy,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,24.1,,
LUX,Luxembourg,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,11.7,,
NLD,Netherlands,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,24.9,,
NOR,Norway,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,37.6,,
POL,Poland,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,14.6,,
PRT,Portugal,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,9.5,,
SVK,Slovak Republic,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,18.2,,
ESP,Spain,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,16.9,,
SWE,Sweden,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,27.6,,
TUR,Turkey,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,8.7,,
GBR,United Kingdom,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,24.2,,
EST,Estonia,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,7.1,,
LVA,Latvia,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,31.7,,
LTU,Lithuania,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,16.5,,
SVN,Slovenia,EMP11,Female share of seats on boards of the largest publicly listed companies,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,19.9,,
AUS,Australia,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,36,,
AUT,Austria,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,29.9,,
BEL,Belgium,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,31.3,,
CAN,Canada,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,35.4,,
CZE,Czech Republic,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,27.7,,
DNK,Denmark,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,26.1,,
FIN,Finland,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,33.4,,
FRA,France,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,32.1,,
DEU,Germany,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,28.6,,
GRC,Greece,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,27.5,,
HUN,Hungary,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,39.6,,
ISL,Iceland,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,36.6,,
IRL,Ireland,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,33.5,,
ITA,Italy,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,26.2,,
JPN,Japan,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,11.3,,
KOR,Korea,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,11.1,,
LUX,Luxembourg,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,22.1,,
MEX,Mexico,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,34.4,,
NLD,Netherlands,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,25,,
NZL,New Zealand,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,40.3,,
NOR,Norway,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,35.4,,
POL,Poland,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,38.4,,
PRT,Portugal,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,34.9,,
SVK,Slovak Republic,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,30.1,,
ESP,Spain,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,30.6,,
SWE,Sweden,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,37,,
CHE,Switzerland,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,34.4,,
TUR,Turkey,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,13.8,,
GBR,United Kingdom,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,34.9,,
USA,United States,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,38,,
BRA,Brazil,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,37.3,,
CHL,Chile,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,26.9,,
CHN,China (People's Republic of),EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,26.8,,
COL,Colombia,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,56.8,,
CRI,Costa Rica,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,31.7,,
