"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ASI","Asia","AUS","Australia","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",21.1,,
"ASI","Asia","AUS","Australia","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ASI","Asia","AUS","Australia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",16.9,,
"ASI","Asia","AUS","Australia","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ASI","Asia","AUS","Australia","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ASI","Asia","AUS","Australia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28.7,,
"ALL","All regions","AUS","Australia","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",21.1,,
"ALL","All regions","AUS","Australia","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","AUS","Australia","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",16.9,,
"ALL","All regions","AUS","Australia","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","AUS","Australia","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","AUS","Australia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28.7,,
"EUR","Europe","AUT","Austria","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",58.3,,
"EUR","Europe","AUT","Austria","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","AUT","Austria","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"EUR","Europe","AUT","Austria","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","AUT","Austria","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","AUT","Austria","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",34.4,,
"ALL","All regions","AUT","Austria","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",58.3,,
"ALL","All regions","AUT","Austria","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
