Country,Year,Female Share of Board Seats,Female Share of Managers,Length of Maternity Leave,Median Gender Wage Gap,Political Representation
Australia,2014,0.201,0.36,6.0,0.154,0.26
Austria,2014,0.171,0.299,16.0,0.177,0.33
Belgium,2014,0.22399999999999998,0.313,15.0,0.033,0.38
Brazil,2014,0.201,0.373,19.238235294117647,0.13716216216216215,0.09
Canada,2014,0.201,0.354,17.0,0.192,0.25
Chile,2014,0.201,0.26899999999999996,18.0,0.13716216216216215,0.14
China (People's Republic of),2014,0.201,0.268,19.238235294117647,0.13716216216216215,0.23
Colombia,2014,0.201,0.568,19.238235294117647,0.096,0.12
Costa Rica,2014,0.201,0.317,19.238235294117647,0.051,0.39
Czech Republic,2014,0.035,0.27699999999999997,28.0,0.163,0.2
Denmark,2014,0.24,0.261,18.0,0.063,0.39
Estonia,2014,0.071,0.32299999999999995,20.0,0.28300000000000003,0.21
Finland,2014,0.292,0.33399999999999996,17.5,0.196,0.43
France,2014,0.324,0.321,16.0,0.132,0.27
Germany,2014,0.244,0.28600000000000003,14.0,0.172,0.37
Greece,2014,0.08900000000000001,0.275,43.0,0.091,0.21
Hungary,2014,0.11800000000000001,0.396,24.0,0.038,0.09
Iceland,2014,0.44799999999999995,0.366,13.0,0.136,0.4
India,2014,0.201,0.124,19.238235294117647,0.13716216216216215,0.11
Indonesia,2014,0.201,0.26899999999999996,19.238235294117647,0.13716216216216215,0.19
Ireland,2014,0.109,0.335,42.0,0.106,0.16
Israel,2014,0.201,0.319,26.0,0.201,0.23
Italy,2014,0.24100000000000002,0.262,21.7,0.055999999999999994,0.31
Japan,2014,0.201,0.113,14.0,0.259,0.08
Korea,2014,0.201,0.111,12.9,0.36700000000000005,0.16
Latvia,2014,0.317,0.435,19.238235294117647,0.21100000000000002,0.23
Lithuania,2014,0.165,0.384,19.238235294117647,0.125,0.24
Luxembourg,2014,0.11699999999999999,0.221,16.0,0.034,0.23
Mexico,2014,0.201,0.344,12.0,0.183,0.37
Netherlands,2014,0.249,0.25,16.0,0.141,0.39
New Zealand,2014,0.201,0.40299999999999997,14.0,0.061,0.32
Norway,2014,0.376,0.354,17.0,0.066,0.4
Poland,2014,0.146,0.384,26.0,0.111,0.24
Portugal,2014,0.095,0.349,6.4,0.18899999999999997,0.29
Russia,2014,0.201,0.414,19.238235294117647,0.13716216216216215,0.14
Slovak Republic,2014,0.182,0.301,34.0,0.14400000000000002,0.19
Slovenia,2014,0.19899999999999998,0.371,15.0,0.05,0.32
South Africa,2014,0.201,0.307,19.238235294117647,0.13716216216216215,0.42
Spain,2014,0.16899999999999998,0.306,16.0,0.115,0.36
Sweden,2014,0.276,0.37,15.6,0.092,0.45
Switzerland,2014,0.201,0.344,16.0,0.16899999999999998,0.29
Turkey,2014,0.087,0.138,16.0,0.069,0.14
United Kingdom,2014,0.242,0.349,52.0,0.174,0.23
United States,2014,0.201,0.38,0.0,0.175,0.18
